복원_요청연월,신청구분코드,신청구분명,접수건수
2021-05-01,459,연금수급증발급,31
2021-05-01,999,미구분,10
2021-06-01,454,연금수급자정보변경,20
2021-06-01,459,연금수급증발급,18
2021-06-01,999,미구분,4
2021-07-01,454,연금수급자정보변경,20
2021-07-01,459,연금수급증발급,26
2021-07-01,999,미구분,10
2021-08-01,454,연금수급자정보변경,37
2021-08-01,459,연금수급증발급,18
2021-08-01,999,미구분,11
2021-09-01,454,연금수급자정보변경,28
2021-09-01,459,연금수급증발급,27
2021-09-01,999,미구분,21
2021-10-01,454,연금수급자정보변경,30
2021-10-01,459,연금수급증발급,33
2021-10-01,999,미구분,1
2021-11-01,454,연금수급자정보변경,24
2021-11-01,459,연금수급증발급,8
2021-11-01,999,미구분,12
2021-12-01,454,연금수급자정보변경,31
2021-12-01,459,연금수급증발급,13
2021-12-01,999,미구분,84
2022-01-01,454,연금수급자정보변경,43
2022-01-01,459,연금수급증발급,23
2022-01-01,999,미구분,65
2022-02-01,454,연금수급자정보변경,36
2022-02-01,457,연금수급자신분변동,1
2022-02-01,459,연금수급증발급,13
2022-02-01,999,미구분,22
2022-03-01,454,연금수급자정보변경,88
2022-03-01,457,연금수급자신분변동,3
2022-03-01,459,연금수급증발급,34
2022-03-01,999,미구분,37
2022-04-01,453,청산일시금,1
2022-04-01,454,연금수급자정보변경,42
2022-04-01,459,연금수급증발급,39
2022-04-01,999,미구분,26
2022-05-01,454,연금수급자정보변경,34
2022-05-01,459,연금수급증발급,30
2022-05-01,999,미구분,13
2022-06-01,454,연금수급자정보변경,29
2022-06-01,457,연금수급자신분변동,1
2022-06-01,459,연금수급증발급,30
2022-06-01,999,미구분,6
2022-07-01,454,연금수급자정보변경,28
2022-07-01,457,연금수급자신분변동,3
2022-07-01,459,연금수급증발급,13
2022-07-01,999,미구분,4
2022-08-01,454,연금수급자정보변경,22
2022-08-01,457,연금수급자신분변동,2
2022-08-01,459,연금수급증발급,23
2022-08-01,999,미구분,5
2022-09-01,454,연금수급자정보변경,56
2022-09-01,457,연금수급자신분변동,3
2022-09-01,459,연금수급증발급,32
2022-09-01,999,미구분,16
2022-10-01,454,연금수급자정보변경,44
2022-10-01,459,연금수급증발급,33
2022-10-01,999,미구분,11
2022-11-01,454,연금수급자정보변경,30
2022-11-01,459,연금수급증발급,16
2022-11-01,999,미구분,22
2022-12-01,454,연금수급자정보변경,34
2022-12-01,457,연금수급자신분변동,2
2022-12-01,459,연금수급증발급,27
2022-12-01,999,미구분,146
2023-01-01,454,연금수급자정보변경,76
2023-01-01,457,연금수급자신분변동,2
2023-01-01,459,연금수급증발급,32
2023-01-01,999,미구분,67
2023-02-01,454,연금수급자정보변경,63
2023-02-01,457,연금수급자신분변동,3
2023-02-01,459,연금수급증발급,27
2023-02-01,999,미구분,48
2023-03-01,454,연금수급자정보변경,98
2023-03-01,457,연금수급자신분변동,5
2023-03-01,459,연금수급증발급,35
2023-03-01,999,미구분,35
2023-04-01,454,연금수급자정보변경,58
2023-04-01,457,연금수급자신분변동,1
